City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,tottori,35.5,134.2333,13.28,94,88,5.49,JP,1707995527
334,castillos,-34.1667,-53.8333,20.54,66,100,2.73,UY,1707995559
335,guixi,28.2886,117.2133,10.12,88,100,1.47,CN,1707995559
336,itacoatiara,-3.1431,-58.4442,24.78,85,86,0.96,BR,1707995560
337,okhotsk,59.3833,143.3,-23.85,90,100,2.66,RU,1707995560
338,murzuq,25.9155,13.9184,16.34,35,3,3.25,LY,1707995477
339,glace bay,46.1969,-59.957,-1.17,95,100,7.6,CA,1707995561
340,bulayevo,54.9056,70.4439,-25.62,90,100,5.62,KZ,1707995562
341,palmer,42.1584,-72.3287,-5.23,66,1,1.99,US,1707995287
342,sirte,31.2089,16.5887,16.69,58,45,7.8,LY,1707995563
343,gadzhiyevo,69.2551,33.3362,-12.51,85,100,8.51,RU,1707995563
344,pickering,43.9001,-79.1329,-3.4,82,34,2.23,CA,1707995033
345,al jawf,29.5,38.75,17.91,31,1,4.12,SA,1707995564
346,mahenge,-8.6833,36.7167,23.89,79,100,0.6,TZ,1707995565
347,mthatha,-31.5889,28.7844,32.34,41,86,4.72,ZA,1707995567
348,gudalur,9.6833,77.2667,30.18,40,14,3.62,IN,1707995568
349,porto seguro,-16.4497,-39.0647,28.29,78,40,3.09,BR,1707995569
350,zambezi,-13.5432,23.1047,32.3,32,100,2.23,ZM,1707995570
351,daru,-9.0763,143.2092,27.71,86,85,2.33,PG,1707995571
352,ghanzi,-21.5667,21.7833,35.82,19,63,2.76,BW,1707995571
353,manali,13.1667,80.2667,30.06,66,90,5.0,IN,1707995397
354,urumqi,43.801,87.6005,-6.47,74,100,2.0,CN,1707995463
355,mugia,43.1041,-9.2179,14.95,96,100,5.78,ES,1707995572
356,nemuro,43.3236,145.575,-1.12,92,100,6.76,JP,1707995464
357,panorama,40.5878,23.0315,12.17,42,20,6.69,GR,1707995574
358,kovur,14.4833,79.9833,28.13,53,46,4.94,IN,1707995574
359,pingliang,35.5392,106.6861,3.33,36,7,2.51,CN,1707995575
360,praia da vitoria,38.7333,-27.0667,17.14,88,75,12.81,PT,1707995575
